,Politicians,Country,CPI
0,Mauricio Macri,Argentina,36
1,Daniel Muí±oz,Argentina,36
2,Ní©stor Grindetti,Argentina,36
3,Bidzina Ivanishvili,Georgia,57
4,Sigmundur Daví_íÁ Gunnlaugsson,Iceland,78
5,Bjarni Benediktsson,Iceland,78
6,íñlí_f Nordal,Iceland,78
7,Ayad Allawi,Iraq,17
8,Ali Abu al-Ragheb,Jordan,48
9,Hamad bin Jassim bin Jaber Al Thani,Qatar,61
10,Hamad bin Khalifa Al Thani,Qatar,61
11,Salman bin Abdulaziz bin Abdulrahman Al Saud,Saudi Arabia,46
12,Mohammad bin Naif bin Abdulaziz Al-Saud,Saudi Arabia,46
13,Ahmad Ali al-Mirghani,Sudan,14
14,Khalifa bin Zayed bin Sultan Al Nahyan,United Arab Emirates,66
15,Pavlo Lazarenko,Ukraine,29
16,Petro Poroshenko,Ukraine,29
17,"Prime Minister Ilham Aliyev's wife, children and sister",Azerbaijan,30
18,Sí_khbaataryn Batbold,Mongolia,38
19,Malcolm Turnbull,Australia,79
20,Deng Jiagui,China,40
21,Li Xiaolin,China,40
22,Jasmine Li,China,40
23,Patrick Henri Devillers,China,40
24,Arkady and Boris Rotenberg,Russia,29
25,Sergey Roldugin,Russia,29
26,Rami and Hafez Makhlouf,Syria,13
27,Ian Cameron,United Kingdom,81
28,Pamela Sharples,United Kingdom,81
29,Michael Mates,United Kingdom,81
30,Alaa Mubarak,Egypt,34
31,Mounir Majidi,Morocco,37
32,"Mariam Safdar, Hasan and Hussain Nawaz Sharif",Pakistan,32
33,John Addo Kufuor,Ghana,43
34,Kojo Annan,Ghana,43
35,Mohd Nazifuddin bin Mohd Najib,Malaysia,49
36,Juan Armando Hinojosa,Mexico,30
37,Pilar de Borbí_n,Spain,58
38,Micaela Domecq Solí_s-Beaumont,Spain,58
39,Jean-Claude Näó»Da Ametchi,Cote d'Ivoire,34
40,Clive Khulubuse Zuma,South Africa,45
41,Mamadie Tourí©,Guinea,27
42,Pedro Delgado,Ecuador,31
43,Galo Chiriboga,Ecuador,31
44,Javier Molina Bonilla,Ecuador,31
45,Stavros Papastavrou,Greece,44
46,Jaynet Dí©sirí©e Kabila Kyungu,The Democratic Republic of Congo,21
47,Bruno Jean-Richard Itoua,The Democratic Republic of Congo,21
48,Nurali Aliyev,Kazakhstan,29
49,Riccardo Francolini,Panama,38
50,Cí©sar Almeyda,Peru,35
51,Abdeslam Bouchouareb,Algeria,34
52,Josí© Maria Botelho de Vasconcelos,Angola,18
53,Ang Vong Vathana,Cambodia,21
54,Jí©ríÇme Cahuzac,France,69
55,Konrad Mizzi,Malta,55
56,Joí£o Lyra,Brazil,40
57,Idalí©cio de Oliveira,Brazil,40
58,Zsolt Horvíçth,Hungary,48
59,Kalpana Rawal,Kenya,26
60,Pawe Piskorski,Poland,62
61,Jesí_s Villanueva,Venezuela,17
62,Ví_ctor Cruz Weffer,Venezuela,17
63,Alfredo Ovalle Rodrí_guez,Chile,66
64,Ian Kirby,Botswana,60
65,James Ibori,Nigeria,28
66,Emmanuel Ndahiro,Rwanda,54
67,Attan Shansonga,Zambia,38
68,Anurag Kejriwal,India,40
69,Giuseppe Donaldo Nicosia,Italy,47
70,Cí©sar Rosenthal,Honduras,30
71,Carlos Gutií©rrez Robayo,Colombia,37
72,Mamadou Pouye,Senegal,45
